Pergunta,Tema,opção A,opção B,opção C,opção D,Resposta correta,Explicação
"A company is considering two projects, Alpha and Beta. Project Alpha is expected to result in a $50 million net profit, while project Beta and is expected to net $45 million. Both projects could be very lucrative and rewarding. However, the financial controller has stated that the company can only invest in one of these projects.  If project Alpha is selected, what will be the opportunity cost?",Cost Management,95 million,50 million,45 million,5 million,C,"Opportunity cost is regarded as the value of the alternative that is not chosen. If the decision is made to select project Alpha and forego the $45 million in potential profit from project Beta, the opportunity cost of this decision is $45 million, the value of project Beta.  The topic of this question is not covered in the PMBOK? Guide. However, the Project Management Professional (PMP)? Examination Content Outline (ECO) indicates that while there are some commonalities between the PMBOK? Guide and the ECO, the exam is not bound by the PMBOK? Guide. The list of enablers specified in the tasks of the ECO domains is not exhaustive either. The ECO assumes that prospective PMP aspirants are familiar with other sources of information/preparation, including but not limited to PMI Code of Ethics and Professional Conduct, PMI?s Practice Standards (e.g., Scheduling, Earned Value Management, etc.); organizational behavior theories such as Tuckman?s Ladder, Theory X and Theory Y, Maslow's hierarchy of needs; commonly frowned upon project management practices, such as gold plating; and others. We intentionally have these questions in our simulator so that you would be better prepared for the real exam. PMP aspirants are encouraged to explore additional sources of information and/or to be familiar with them from their project management experience."
"You are managing a project to build five bridges. The project consists of five sequential phases with each phase delivering one bridge.  After the first phase of the project is complete, which process group of the second phase should follow?", Integration Management, Initiating,Planning,Executing,Closing,A,"The Initiating Process Group is made up of two processes, Develop Project Charter and Identify Stakeholders. The Initiating Process Group is performed to define a new project or a new phase of an existing project by obtaining authorization to start the project or phase. The purpose of this Process Group is to align the stakeholders' expectations and the project purpose, inform stakeholders of the scope and objectives, and discuss how their participation in the project and its associated phases can help to ensure their expectations are met.  In the scenario described, you are about to start a new project phase. Therefore, you should start with the Develop Project Charter process. It does not necessarily mean you would develop a new project charter for each consecutive project phase, but it means that you will perform the processes of the Initiating Process Group starting with the Develop Project Charter process. You will review the project charter to see if the high-level assumptions and constraints made during project initiation are still valid, and whether or not the market conditions are still favorable for the project. Performing this process may result in an update of the charter or an addendum to the project charter. In an extreme scenario, this process may result in project termination.  While the PMBOK? Guide does not explicitly mention going back to the Initiating Process Group to look at the project charter, it does provide several examples implying that the project team may choose to go with each new phase as a separate, stand-alone project. Undertaking a stand-alone project means performing all its processes, starting with the Develop Project Charter. The same logic applies to the next process in the Initiating Process Group, the Identify Stakeholders process. It is possible that new stakeholders became involved in the project, or some of the previous stakeholders left, or the level of engagement of the existing stakeholders have changed. Even if nothing has changed, the Develop Project Charter and the Identify Stakeholders processes should be performed. Otherwise, how would you be able to conclude that nothing has changed? Therefore, starting the new phase of the project with the processes of the Initiating Process Group is the best answer to the question asked."
"The project aims to investigate the feasibility of constructing a hydroelectric dam from a technical, economic, and social point of view. The project charter created by the project manager on behalf of the project sponsor is now approved.  Which of the following processes should be performed next?", Stakeholder Management,Develop Project Management Plan,Identify Risks,Identify Stakeholders,Develop Project Charter,C,"The Identify Stakeholders process is the process of identifying all people or organizations impacted by the project and documenting relevant information regarding their interests, involvement, and impact on project success. Both the Develop Project Charter process and the Identify Stakeholders process are part of the Initiating Process Group which should be completed before proceeding to the processes in the Planning Process Group. In this scenario, since the project charter has been developed and approved, the Identify Stakeholders process should be performed next."
"You are managing a software upgrade project for your company. Your project sponsor has a great deal of authority regarding project decisions, but you recently discovered that he doesn't have much interest in your project. To complete the project successfully, you need your project sponsor's continuous support.  What stakeholder management strategy should you use with your project sponsor?",Stakeholder Management,Keep the sponsor satisfied,Manage the sponsor closely,Monitor the sponsor's actions,Keep the sponsor informed,A,"A power/interest grid is a classification model used for stakeholder analysis and management that groups the stakeholders based on their level of authority (power) and their level of concern (interest) regarding project outcomes. The classification and recommended management strategies are as follows:      Low-power/low-interest: monitor only     Low-power/high-interest: keep informed     High-power/low-interest: keep satisfied     High-power/high-interest: manage closely  Based on this scenario, the sponsor can be classified as high-power and low-interest; therefore, keeping the sponsor satisfied is the best strategy under the circumstances described in the scenario."
"The project sponsor asks for a copy of the document that contains the description, owner, source, priority, and status of product requirements.  Which project document is the project sponsor requesting?",Scope Management,The requirements management plan,The requirements traceability matrix,The scope management plan,The work breakdown structure (WBS),B,"In this scenario, the project sponsor requested a document that provides specific information about the product requirements of your current project. The requirements traceability matrix is a grid that links product requirements from their origin to the deliverables that satisfy them. Typical attributes used in the requirements traceability matrix may include a unique identifier, a textual description of the requirement, the rationale for inclusion, owner, source, priority, version, current status, and status date. Additional attributes to ensure that the requirement has met stakeholders' satisfaction may include stability, complexity, and acceptance criteria."
You are facing problems decomposing the testing work package into the final activities required to complete the work package. Detailed testing plans and activities cannot be determined until the system is at least 50% developed and more details become available. The system development work package will take at least three months to complete.  What is the best way to resolve this problem?,Schedule Management,Use product analysis techniques such as product breakdown and systems analysis to decompose the system testing work package,Decompose the system development work package now and decompose the system testing work package later,Break down the project into multiple phases so that the system testing work package goes into the second project phase,Consult the project management plan to determine what to do in this situation,B,"Delaying the decomposition of the system testing work package until later in the project is an example of rolling wave planning. Rolling wave planning is an iterative planning technique in which the work to be accomplished in the near term is planned in detail, while the work in the future is planned at a higher level. Decomposition may not be possible for a deliverable or subcomponent that will be accomplished far into the future. The project management team usually waits until the deliverable or subcomponent is agreed on, so the details of the work breakdown structure (WBS) can be developed. Therefore, the best approach is to use rolling wave planning and decompose the system development work package now, and then decompose the system testing work package later, when more project information becomes available."
"You are about to start planning for a large and complex project. Due to the size of the project along with the regulatory and environmental considerations, the development of a detailed project management plan will be critical.  As a starting point for initial project planning, what is the first thing you should do?", Integration Management,Conduct a project kick-off meeting to inform and engage stakeholders and gain commitment,Review the project charter to understand the high-level information about the project,Begin the process of identifying stakeholders so they can be engaged as necessary for project planning,Share the project scope statement with the project team for a common understanding of project deliverables,B,"The question states that project planning is about to begin which suggests that project initiation has been completed. The project charter is created during the Develop Project Charter process as part of project initiation. The project team uses the project charter as a starting point for initial project planning. The type and amount of information in the project charter varies depending on the complexity of the project and the information known at the time of its creation. At a minimum, the project charter should define the high-level information about the project that will be elaborated in the various components of the project management plan."
"As you are monitoring the cost baseline for your project, you notice that project expenses are higher than expected at this point in the project.  What is the most likely cause of the variance?",Resource Management,Overestimated material costs,Lack of stakeholder support,An incomplete milestone list,Excess inventory,D,"Physical resource management is concentrated in allocating and using the physical resources such as materials, equipment, and supplies efficiently and effectively. Organizations should have data on how much inventory to keep on hand as the project progresses. Failing to manage and control resources efficiently can be a source of increased costs in a project. In the scenario described, you have determined expenses are higher than expected. One of the causes for increased costs is failing to maintain appropriate levels of inventory. Too much stock on hand may result in realizing the expenses for those supplies before they were expected when comparing against the cost baseline."
"Recently, you promoted your star programmer, Sam, to lead the agile development team. Sam was a fantastic software coder, and you thought the promotion would mean that he could now share his expertise with the other development team members. However, you are surprised to learn that the performance of Sam in his new role is not meeting your expectations.  Which empirical rule did you forget while considering the promotion of Sam?",Resource Management,Expectancy theory,Halo effect,Pareto concept,Murphy's law,B,"The halo effect (also known as the Peter principle) states ""In a hierarchy, every employee tends to rise to his/her level of incompetence."" Most project team members are motivated by an opportunity to grow, accomplish, and apply their professional skills to meet new challenges. Their achievements continuously promote them within an organization to a certain level until they are unable to perform. Sam might have risen to his incompetency level, which is what you have likely forgotten to consider while promoting him to lead the development team.  The topic of this question is only briefly mentioned in the PMBOK? Guide. However, the Project Management Professional (PMP)? Examination Content Outline (ECO) indicates that while there are some commonalities between the PMBOK? Guide and the ECO, the exam is not bound by the PMBOK? Guide. The list of enablers specified in the tasks of the ECO domains is not exhaustive either. The ECO assumes that prospective PMP aspirants are familiar with other sources of information/preparation, including but not limited to PMI Code of Ethics and Professional Conduct, PMI?s Practice Standards (e.g., Scheduling, Earned Value Management, etc.); organizational behavior theories such as Tuckman's Ladder, Theory X and Theory Y, Maslow's hierarchy of needs; commonly frowned upon project management practices, such as gold plating; and others. We intentionally have these questions in our simulator so that you would be better prepared for the real exam. PMP aspirants are encouraged to explore additional sources of information and/or to be familiar with them from their project management experience. The PMBOK? Guide is provided as a reference to indicate that the scenario refers the Develop Team process."
"You have just taken over a project in execution. During your first week, you determine that the project team members spend a lot of time responding to unexpected requests for information from different project stakeholders. Because of these interruptions, the team cannot focus on their project activities, and as a result, the project is behind schedule.  What should you do first?",Communications Management,Tell the team members to stop responding to unexpected requests since it is not the responsibility of the team,Push the team to respond to all the requests faster so that they can perform their assigned project activities on time,Ask the team to forward all stakeholder inquiries to you so that the team members can focus on their assigned tasks,Review the communications management plan to understand how stakeholder requests should be handled,D,"Monitor Communications is the process of monitoring and controlling communications throughout the entire project life cycle to ensure the information needs of the project and its stakeholders are met. In this scenario, the stakeholders are reaching out directly to the project team members, which is not the most effective use of the team's time. To determine why this is happening, you need to review the communications management plan to determine how stakeholder inquiries are to be managed. With this information, you can best judge whether the stakeholders are violating that agreement. After that, you can proceed to make whatever changes are needed to shield the project team from the time-consuming responses to the stakeholders' requests for information and develop a better communications protocol for stakeholder information requests."
A team member submits a draft of the requirements management plan to the project manager for a review. The project manager notices that one of the components included in the plan does not belong there.  Which of the following components did the project manager most likely notice?,Scope Management,A process that describes how the project requirements will be prioritized,The metrics that will be used and the rationale for using them,A process that specifies how a project scope statement will be prepared,"How requirement activities will be planned, tracked, and reported",C,"The requirements management plan is a component of the project or program management plan that describes how requirements will be analyzed, documented, and managed. A process that specifies how a project scope statement will be prepared is an element of the scope management plan and should be excluded from the requirements management plan. The incorrect answer choices represent components that should be included in the requirements management plan."
"While reviewing your project's performance, you discover a significant variance. If the issue is not fixed before the next customer inspection, your project might be canceled. However, after a further review conducted by the project team, you are glad to hear that bringing the project back on track requires only a minor correction to a configuration element.  What should you do first?",Scope Management,Implement the corrective action,Submit a change request,Consult the project sponsor,Delay the customer inspection,B,"All of the available answers seem like possible options in this scenario, but the question is specifically asking what you should do 'first'. Although you have already analyzed the situation and you know what corrective actions are required, you must follow the proper change control procedure. A configuration element is a project artifact that has been placed under configuration control. Any change to a configuration element should be formally controlled and will require a change request. Since the question describes a situation requiring a change to a configuration element, the first thing you should do is submit a change request and have it approved before you can implement the changes."
"A project manager is leading a process improvement project for a factory operation. Currently, the project manager and the team are performing the Monitor and Control Project Work process.  Which of the following activities might be carried out during this process?",Integration Management,Comparing actual project performance against the project management plan,Implementing approved change requests to achieve the project's objectives,Analyzing change requests and either approving or rejecting them,Gaining formal acceptance of the deliverables by the customer or sponsor,A,"Monitor and Control Project Work is the process of tracking, reviewing, and reporting overall progress to meet the performance objectives defined in the project management plan. Of the available choices, only comparing actual project performance against the project management plan is performed during the Monitor and Control Project Work process."
"An organization has a policy that a change control board (CCB) must review all change requests for every project in the organization, and that the CCB follows the recommended activities outlined in the PMBOK? Guide. Project managers and the project team do not serve as members of the CCB.  Based on this scenario, which of the following activities might be performed by members of the CCB?",Integration Management,Submitting a change request, Implementing approved change requests , Initiating and closing a project , Monitoring implementation of approved changes ,A,"The change control board (CCB) is a formally chartered group responsible for reviewing, evaluating, approving, deferring, or rejecting change requests. The CCB can include project stakeholders, and a change may be requested by any stakeholder involved with the project. Therefore, it is possible for a member of the CCB to submit a change request."
